#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.11351E+04    0.34545E+01    0.13958E-02    0.79400E-01    0.70815E-01    0.34545E+01    0.54926E-01   -0.66895E-05    0.29086E-04    0.30253E-04    0.13958E-02   -0.66895E-05    0.81416E-08    0.64450E-06    0.47525E-06    0.79400E-01    0.29086E-04    0.64450E-06    0.44239E-03    0.29967E-03    0.70815E-01    0.30253E-04    0.47525E-06    0.29967E-03    0.31744E-03
     3    0.10550E+04    0.42931E+01    0.98226E-03    0.10950E+00    0.97904E-01    0.42931E+01    0.88312E-01   -0.57418E-05    0.11648E-04    0.13301E-04    0.98226E-03   -0.57418E-05    0.49414E-08    0.77393E-06    0.58936E-06    0.10950E+00    0.11648E-04    0.77393E-06    0.86843E-03    0.59590E-03    0.97904E-01    0.13301E-04    0.58936E-06    0.59590E-03    0.62354E-03
     4    0.98114E+03    0.43846E+01    0.74173E-03    0.12965E+00    0.11777E+00    0.43846E+01    0.97755E-01   -0.44361E-05    0.74404E-05    0.86648E-05    0.74173E-03   -0.44361E-05    0.34133E-08    0.85350E-06    0.66936E-06    0.12965E+00    0.74404E-05    0.85350E-06    0.14224E-02    0.99002E-03    0.11777E+00    0.86648E-05    0.66936E-06    0.99002E-03    0.10251E-02
     5    0.92433E+03    0.40393E+01    0.58470E-03    0.14193E+00    0.13142E+00    0.40393E+01    0.85338E-01   -0.31549E-05    0.62879E-05    0.68545E-05    0.58470E-03   -0.31549E-05    0.25344E-08    0.89557E-06    0.72211E-06    0.14193E+00    0.62879E-05    0.89557E-06    0.20859E-02    0.14729E-02    0.13142E+00    0.68545E-05    0.72211E-06    0.14729E-02    0.15144E-02
     6    0.88306E+03    0.34956E+01    0.47508E-03    0.14830E+00    0.14013E+00    0.34956E+01    0.62030E-01   -0.20313E-05    0.61091E-05    0.64701E-05    0.47508E-03   -0.20313E-05    0.19711E-08    0.90960E-06    0.75308E-06    0.14830E+00    0.61091E-05    0.90960E-06    0.28333E-02    0.20301E-02    0.14013E+00    0.64701E-05    0.75308E-06    0.20301E-02    0.20796E-02
     7    0.85436E+03    0.29011E+01    0.39497E-03    0.15035E+00    0.14499E+00    0.29011E+01    0.38882E-01   -0.11228E-05    0.57590E-05    0.64377E-05    0.39497E-03   -0.11228E-05    0.15842E-08    0.90312E-06    0.76676E-06    0.15035E+00    0.57590E-05    0.90312E-06    0.36346E-02    0.26427E-02    0.14499E+00    0.64377E-05    0.76676E-06    0.26427E-02    0.27059E-02
     8    0.83492E+03    0.23441E+01    0.33398E-03    0.14927E+00    0.14686E+00    0.23441E+01    0.22214E-01   -0.45000E-06    0.50085E-05    0.56916E-05    0.33398E-03   -0.45000E-06    0.13048E-08    0.88226E-06    0.76695E-06    0.14927E+00    0.50085E-05    0.88226E-06    0.44597E-02    0.32894E-02    0.14686E+00    0.56916E-05    0.76695E-06    0.32894E-02    0.33751E-02
     9    0.82253E+03    0.18691E+01    0.28603E-03    0.14601E+00    0.14642E+00    0.18691E+01    0.13102E-01   -0.52882E-08    0.47508E-05    0.51301E-05    0.28603E-03   -0.52882E-08    0.10954E-08    0.85187E-06    0.75684E-06    0.14601E+00    0.47508E-05    0.85187E-06    0.52855E-02    0.39508E-02    0.14642E+00    0.51301E-05    0.75684E-06    0.39508E-02    0.40693E-02
    10    0.81563E+03    0.15000E+01    0.24761E-03    0.14123E+00    0.14417E+00    0.15000E+01    0.94192E-02    0.24474E-06    0.49100E-05    0.52339E-05    0.24761E-03    0.24474E-06    0.93375E-09    0.81545E-06    0.73890E-06    0.14123E+00    0.49100E-05    0.81545E-06    0.60921E-02    0.46087E-02    0.14417E+00    0.52339E-05    0.73890E-06    0.46087E-02    0.47697E-02
    11    0.81265E+03    0.12446E+01    0.21667E-03    0.13557E+00    0.14065E+00    0.12446E+01    0.82925E-02    0.34757E-06    0.48278E-05    0.51664E-05    0.21667E-03    0.34757E-06    0.80613E-09    0.77614E-06    0.71566E-06    0.13557E+00    0.48278E-05    0.77614E-06    0.68706E-02    0.52532E-02    0.14065E+00    0.51664E-05    0.71566E-06    0.52532E-02    0.54645E-02
